,City Name,Country Code,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
79,kazerun,IR,29.62,51.65,78.82,25,10,1.34
80,merauke,ID,-8.49,140.4,77.74,82,91,21.59
81,lamesa,US,32.74,-101.95,96.8,23,1,4.7
82,kiruna,SE,67.86,20.23,48.2,93,97,4.7
83,isangel,VU,-19.55,169.27,75.2,73,75,9.17
84,hohhot,CN,40.81,111.65,64.4,93,40,4.47
85,kodiak,US,39.95,-94.76,84.65,19,40,11.41
86,alihe,CN,50.57,123.73,62.8,82,89,3.67
87,correntina,BR,-13.34,-44.63,67.12,38,0,3.65
88,deputatskiy,RU,69.3,139.9,43.9,79,100,17.4
89,vaini,IN,15.34,74.49,76.66,89,44,0.81
90,lodja,CD,-3.52,23.6,73.96,63,8,0.45
91,chara,GR,39.42,22.43,73.4,69,40,1.57
92,vila velha,BR,-3.71,-38.6,82.24,78,40,11.41
93,camacha,PT,33.08,-16.33,69.03,77,75,10.29
94,bedesa,ET,8.9,40.78,63.88,79,58,11.36
95,nuuk,GL,64.17,-51.74,50.0,66,20,10.29
96,punta arenas,CL,-53.16,-70.91,39.09,86,40,2.24
97,portland,US,43.66,-70.25,78.57,44,20,9.17
98,cortez,US,37.35,-108.58,82.81,21,1,16.04
99,ponta do sol,BR,-20.63,-46.0,66.76,51,82,3.51
100,qaanaaq,GL,77.48,-69.36,45.52,61,73,2.3
101,leduc,CA,53.26,-113.55,73.11,56,75,6.93
102,berlevag,NO,70.86,29.09,46.4,75,20,2.24
103,dikson,RU,73.51,80.55,37.24,100,100,10.07
104,te anau,NZ,-45.41,167.72,38.86,92,97,3.11
105,petropavlovsk-kamchatskiy,RU,53.05,158.65,66.2,72,0,6.71
106,novobelokatay,RU,55.7,58.96,57.04,94,100,16.67
107,busselton,AU,-33.64,115.35,36.91,71,0,13.38
108,buala,SB,-8.15,159.59,82.42,73,49,2.89
109,amapa,HN,15.09,-87.97,80.6,83,75,9.17
110,malanje,AO,-9.54,16.35,60.1,78,34,1.68
111,piacabucu,BR,-10.41,-36.43,72.52,78,99,5.44
112,carnarvon,ZA,-30.97,22.13,52.54,28,0,8.93
113,champerico,MX,16.38,-93.6,93.2,44,75,5.82
114,sterling,US,39.0,-77.4,87.17,43,40,6.93
115,puerto narino,CO,-3.77,-70.38,77.0,100,75,6.93
116,steamboat springs,US,40.48,-106.83,76.93,28,1,5.82
117,kedrovyy,RU,56.17,91.82,59.0,93,75,2.66
118,tarko-sale,RU,64.92,77.78,70.0,84,0,6.33
119,geraldton,CA,49.72,-86.95,77.0,65,75,14.99
120,lasa,CY,34.92,32.53,71.4,78,40,6.93
121,la ronge,CA,55.1,-105.3,66.2,63,75,10.29
122,codrington,AU,-28.95,153.24,49.1,81,0,5.82
123,lagunas,PE,-5.23,-75.68,75.94,77,1,1.23
124,yabelo,ET,4.89,38.09,61.54,82,36,8.01
125,chokurdakh,RU,70.62,147.9,39.22,90,99,18.7
126,rio grande,BR,-32.03,-52.1,50.0,81,0,4.7
127,saskylakh,RU,71.97,114.09,55.6,50,97,5.5
128,hithadhoo,MV,-0.6,73.08,82.24,77,100,25.39
129,kulhudhuffushi,MV,6.62,73.07,82.96,71,100,21.16
130,tezu,IN,27.93,96.16,71.44,96,99,4.12
131,barrow,AR,-38.31,-60.23,42.46,73,0,2.77
132,atuona,PF,-9.8,-139.03,80.08,79,0,14.85
133,bubaque,GW,11.28,-15.83,79.9,83,100,11.56
134,bethel,US,60.79,-161.76,69.35,52,75,11.41
135,ostrovnoy,RU,68.05,39.51,41.38,97,96,9.69
136,cockburn town,TC,21.46,-71.14,82.67,80,0,21.34
137,kokopo,PG,-4.34,152.27,85.3,58,28,1.1
138,aklavik,CA,68.22,-135.01,72.64,68,40,5.82
139,mopipi,BW,-21.2,24.86,52.72,41,0,8.88
140,ola,RU,59.58,151.3,49.3,96,100,12.26
141,saint-philippe,CA,45.36,-73.48,79.39,50,20,12.75
142,saldanha,PT,41.42,-6.55,72.7,55,4,3.33
143,richmond west,US,25.61,-80.43,87.85,70,20,11.41
144,hasaki,JP,35.73,140.83,66.51,100,75,10.29
145,quelimane,MZ,-17.88,36.89,66.2,88,0,3.36
146,srednekolymsk,RU,67.46,153.71,53.08,74,74,12.55
147,cabedelo,BR,-6.97,-34.84,75.2,83,0,8.05
148,thompson,CA,55.74,-97.86,64.4,82,75,5.82
149,vanimo,PG,-2.67,141.3,81.16,71,90,2.71
150,luderitz,NA,-26.65,15.16,48.2,100,0,2.24
151,kruisfontein,ZA,-34.0,24.73,48.4,87,0,4.47
152,montgomery,US,32.37,-86.3,82.33,94,75,4.7
153,avarua,CK,-21.21,-159.78,75.2,60,0,12.75
154,loreto,PY,-23.27,-57.32,63.16,87,79,6.89
155,khandyga,RU,62.65,135.58,75.04,35,56,8.46
156,susaki,JP,33.42,133.28,75.2,88,75,3.36
157,yumen,CN,40.29,97.04,76.12,29,1,2.91
158,porto novo,BR,-23.68,-45.44,66.2,82,75,8.05
159,ampanihy,MG,-24.69,44.75,63.7,74,0,10.69
160,port lincoln,AU,-34.72,135.86,56.5,85,100,7.14
161,hovd,NO,63.83,10.7,50.23,87,75,14.99
162,aljezur,PT,37.31,-8.8,68.56,83,0,22.48
163,valdivia,CL,-39.81,-73.25,42.8,100,75,2.24
164,nemuro,JP,43.32,145.57,54.88,93,100,7.14
165,athabasca,CA,54.72,-113.29,71.44,44,50,0.29
166,egvekinot,RU,66.32,-179.17,49.37,89,100,12.41
167,gobabis,NA,-22.45,18.97,48.2,26,0,8.75
168,belmonte,PT,40.36,-7.35,64.53,87,24,1.99
169,gribanovskiy,RU,51.46,41.98,61.79,77,57,6.6
170,kiunga,PG,-6.12,141.3,73.24,97,100,3.62
171,alta gracia,AR,-31.66,-64.43,55.94,54,0,4.7
172,verkhnevilyuysk,RU,63.45,120.31,66.4,46,48,4.9
173,rawson,AR,-43.3,-65.11,47.68,42,45,15.68
174,igarka,RU,67.47,86.57,70.0,61,25,13.11
175,abha,SA,18.22,42.5,73.4,56,100,5.06
176,porangatu,BR,-13.44,-49.14,74.14,31,0,3.27
177,cao bang,VN,22.67,106.25,74.32,90,99,0.72
178,talcahuano,CL,-36.72,-73.12,51.8,71,0,8.05
179,namibe,AO,-15.19,12.15,66.94,78,0,8.08
180,upernavik,GL,72.79,-56.15,48.76,62,46,5.35
181,machico,PT,32.7,-16.77,67.91,73,40,14.99
182,kanor,IN,24.43,74.26,77.56,78,23,13.51
183,talnakh,RU,69.49,88.39,69.8,68,20,15.66
184,nelson bay,AU,-32.72,152.14,50.59,61,0,21.92
185,visnes,NO,59.36,5.22,53.6,93,100,16.11
186,doctor arroyo,MX,23.67,-100.18,81.7,33,66,15.7
187,los llanos de aridane,ES,28.66,-17.92,68.22,78,75,20.8
188,skalat,UA,49.42,25.98,55.99,61,13,1.99
189,el bagre,CO,7.6,-74.8,74.14,94,70,2.8
190,staroye drozhzhanoye,RU,54.73,47.56,53.08,91,0,7.74
191,vanavara,RU,60.35,102.28,68.2,78,100,10.27
192,solnechnyy,RU,50.72,136.64,69.46,85,83,1.45
193,port shepstone,ZA,-30.74,30.45,55.24,96,4,2.42
194,catalao,BR,-18.17,-47.95,67.12,44,2,2.64
195,pevek,RU,69.7,170.27,35.26,91,77,2.98
196,saint george,GR,39.45,22.34,73.4,69,40,1.57
197,derzhavinsk,KZ,51.1,66.31,68.38,81,0,16.24
198,okhotsk,RU,59.36,143.24,59.74,78,100,4.03
199,muros,ES,42.77,-9.06,64.87,93,90,9.17
200,lavrentiya,RU,65.58,-170.99,69.46,45,79,2.04
201,russell,US,38.9,-98.86,92.97,41,1,9.17
202,victoria,BN,5.28,115.24,76.64,83,75,2.24
203,gorontalo,ID,0.54,123.06,79.0,78,61,10.51
204,tazovskiy,RU,67.47,78.7,55.06,89,71,6.73
205,saint-louis,SN,16.03,-16.5,78.8,74,75,4.7
206,aitape,PG,-3.15,142.36,81.52,69,99,2.01
207,asosa,ET,10.07,34.53,63.52,93,22,3.24
208,kaputa,ZM,-8.47,29.66,60.1,61,11,3.49
209,kavieng,PG,-2.57,150.8,80.98,74,26,2.68
210,ous,RU,60.91,61.52,66.94,79,51,9.17
211,chulym,RU,55.09,80.97,58.48,82,0,7.27
212,pavilosta,LV,56.89,21.19,61.66,82,100,12.75
213,nara,JP,34.68,135.8,75.07,78,75,4.7
214,henties bay,NA,-22.12,14.28,52.0,94,0,1.01
215,baruun-urt,MN,46.68,113.28,77.92,37,71,9.15
216,cherskiy,RU,68.75,161.3,50.56,55,60,15.41
217,naryan-mar,RU,67.67,53.09,47.86,75,100,11.43
218,comodoro rivadavia,AR,-45.87,-67.48,53.6,46,0,16.11
219,ukiah,US,39.15,-123.21,82.53,22,1,9.17
220,vaitape,PF,-16.52,-151.75,77.38,78,0,15.99
221,polis,CY,35.04,32.42,69.28,78,40,6.93
222,nanortalik,GL,60.14,-45.24,39.4,96,100,3.76
223,vestmannaeyjar,IS,63.44,-20.27,53.62,94,100,13.69
224,iskateley,RU,67.68,53.15,47.86,75,100,11.43
225,suixi,CN,33.92,116.76,82.99,63,99,5.37
226,kedougou,SN,12.56,-12.19,84.2,79,75,6.91
227,zhigansk,RU,66.77,123.37,63.16,38,0,12.71
228,namatanai,PG,-3.66,152.44,81.16,72,88,5.19
229,russkiy aktash,RU,55.04,52.12,57.2,93,0,17.9
230,sibolga,ID,1.74,98.78,80.98,76,95,7.94
231,launceston,AU,-41.43,147.14,48.96,75,90,11.41
232,enshi,CN,30.29,109.48,66.4,90,100,4.85
233,bambous virieux,MU,-20.34,57.76,68.77,64,40,17.22
234,santander,PH,9.42,123.33,77.0,94,90,6.93
235,provideniya,RU,64.42,-173.23,55.4,76,0,17.9
236,tymovskoye,RU,50.85,142.66,61.0,73,95,6.35
237,saint-pierre,FR,48.95,4.24,57.18,76,0,11.41
238,dekar,BW,-21.53,21.93,53.62,30,0,7.25
239,erzin,TR,36.95,36.2,75.47,69,40,12.75
240,asandh,IN,29.52,76.6,83.68,74,27,7.83
241,engenheiro beltrao,BR,-23.8,-52.27,57.94,97,100,1.12
242,lebowakgomo,ZA,-24.3,29.54,50.59,26,0,4.7
243,airai,TL,-8.93,125.41,76.48,65,11,1.16
244,norman wells,CA,65.28,-126.83,78.8,47,75,6.93
245,cajati,BR,-24.73,-48.11,57.4,99,100,0.87
246,iqaluit,CA,63.75,-68.52,44.28,93,75,2.24
247,bulgan,MN,48.81,103.53,61.36,83,42,1.95
248,kavaratti,IN,10.57,72.64,82.06,80,100,19.01
249,skibbereen,IE,51.55,-9.27,60.8,93,75,5.82
250,karratha,AU,-20.74,116.85,62.44,25,0,14.83
251,kloulklubed,PW,7.04,134.26,80.6,83,90,9.17
252,kushima,JP,31.5,131.29,73.49,88,75,2.24
253,hofn,IS,64.25,-15.21,43.0,98,100,1.95
254,ust-omchug,RU,61.13,149.63,60.28,75,71,7.54
255,guamuchil,MX,25.47,-108.1,97.5,51,1,8.01
256,port keats,AU,-14.25,129.55,68.56,24,24,17.85
257,teknaf,BD,20.86,92.31,84.04,80,97,6.87
258,tiksi,RU,71.64,128.87,49.66,55,87,20.49
259,komsomolskiy,RU,67.55,63.78,44.44,87,40,13.91
260,severo-kurilsk,RU,50.68,156.12,43.72,94,89,17.27
261,manbij,SY,36.53,37.96,70.7,37,0,8.05
262,meadow lake,CA,54.13,-108.44,66.2,59,20,8.05
263,gazojak,TM,41.19,61.4,80.26,39,0,11.95
264,scottsbluff,US,41.87,-103.67,87.49,61,1,9.17
265,sulangan,PH,11.14,123.72,80.08,82,100,18.63
266,yerbogachen,RU,61.28,108.01,68.92,60,1,11.01
267,sungaipenuh,ID,-2.08,101.38,71.44,84,98,2.71
268,palauig,PH,15.44,119.9,79.9,83,100,6.33
269,coahuayana,MX,18.62,-100.35,81.7,83,99,0.67
270,mareeba,AU,-16.99,145.42,61.36,42,87,11.41
271,bambanglipuro,ID,-7.95,110.28,74.14,80,73,15.66
272,bom jesus,BR,-9.08,-44.36,73.42,49,10,1.9
273,seoul,KR,37.57,126.98,71.6,88,75,9.44
274,paamiut,GL,61.99,-49.67,40.66,97,95,15.73
275,torbay,CA,47.66,-52.73,54.45,93,90,13.87
276,apricena,IT,41.78,15.44,69.8,88,75,3.36
277,tautira,PF,-17.73,-149.15,82.18,58,20,10.29
278,kudahuvadhoo,MV,2.67,72.89,82.42,73,100,18.86
279,souillac,FR,45.6,-0.6,63.9,56,0,2.24
280,tromso,NO,69.65,18.96,46.63,81,75,2.24
281,diffa,NE,13.32,12.61,89.26,42,86,10.83
282,lompoc,US,34.64,-120.46,79.66,53,1,14.99
283,likasi,CD,-10.99,26.74,52.18,58,0,6.6
284,fengzhen,CN,40.43,113.15,62.62,86,100,0.36
285,haines junction,CA,60.75,-137.51,61.0,45,62,12.3
286,tuktoyaktuk,CA,69.44,-133.03,57.2,87,75,12.75
287,buta,CD,2.79,24.73,68.74,98,75,1.43
288,necochea,AR,-38.55,-58.74,46.99,93,0,6.55
289,galesong,ID,-5.32,119.37,71.6,88,20,2.24
290,saryozek,KZ,44.36,77.98,68.92,46,0,1.92
291,burnie,AU,-41.05,145.91,54.68,76,99,11.99
292,kawalu,ID,-7.38,108.21,65.14,90,71,3.4
293,zakamensk,RU,50.38,103.29,56.32,94,95,1.86
294,neepawa,CA,50.23,-99.46,77.0,61,75,14.99
295,pattaya,TH,12.93,100.9,83.19,69,20,5.88
296,takoradi,GH,4.89,-1.75,73.24,89,100,4.68
297,auki,NG,12.18,6.51,74.14,78,100,4.38
298,flinders,AU,-34.58,150.85,54.25,58,0,16.11
299,manicore,BR,-5.81,-61.3,77.63,78,13,3.56
300,san juan,AR,-31.54,-68.53,40.01,70,0,1.36
301,loveland,US,40.4,-105.08,76.21,50,90,23.04
302,ossora,RU,59.24,163.07,65.93,69,24,6.69
303,port augusta,AU,-32.49,137.76,50.0,100,90,3.36
304,narsaq,GL,60.91,-46.05,55.4,62,75,12.75
305,inirida,CO,3.87,-67.92,74.5,95,21,1.01
306,lethem,GY,3.38,-59.8,81.34,70,70,7.31
307,marsh harbour,BS,26.54,-77.06,85.3,71,26,10.07
308,hue,VN,16.47,107.58,78.8,94,20,1.12
309,buchach,UA,49.06,25.39,54.79,93,0,4.47
310,antalaha,MG,-14.9,50.28,57.58,96,67,3.27
311,benghazi,LY,32.12,20.07,81.16,75,0,8.32
312,kalas,PK,33.49,72.96,78.04,94,90,11.41
313,kirensk,RU,57.78,108.12,72.88,59,94,9.06
314,omboue,GA,-1.57,9.26,74.32,87,27,10.96
315,oktyabrskiy,RU,55.61,37.97,55.74,87,13,2.24
316,mogadishu,SO,2.04,45.34,74.86,83,50,10.27
317,pryazha,RU,61.69,33.62,48.2,93,44,2.64
318,port moresby,PG,-9.47,147.16,77.0,83,40,14.99
319,isla mujeres,MX,21.23,-86.73,87.4,70,40,11.41
320,leningradskiy,RU,69.38,178.42,34.54,97,100,3.96
321,zavetnoye,RU,47.12,43.89,70.54,55,100,8.37
322,ubinskoye,RU,55.31,79.68,58.66,81,33,5.1
323,miles city,US,46.41,-105.84,84.2,35,1,10.29
324,patnongon,PH,10.91,121.99,81.34,82,100,19.95
325,huarmey,PE,-10.07,-78.15,62.44,86,0,14.27
326,inarcs,HU,47.26,19.33,58.89,87,0,3.36
327,rincon,PA,8.46,-82.28,68.43,78,40,6.93
328,eston,CA,51.15,-108.75,76.77,50,40,12.75
329,marabba,SD,12.35,32.18,83.86,56,0,6.22
330,san luis,AR,-33.3,-66.34,53.8,47,9,6.58
331,pascagoula,US,30.37,-88.56,85.44,70,40,6.93
332,letterkenny,IE,54.95,-7.73,55.78,93,100,1.83
333,osoyoos,CA,49.03,-119.47,80.6,32,75,8.05
334,chernyshevskiy,RU,63.01,112.47,68.38,54,0,6.51
335,popovo,BG,43.35,26.23,57.2,100,0,3.36
336,bandarbeyla,SO,9.49,50.81,76.48,65,15,25.77
337,itupiranga,BR,-5.13,-49.33,82.4,69,20,2.24
338,boli,CN,45.76,130.56,70.54,74,69,7.61
339,arganil,PT,40.22,-8.05,64.83,91,57,4.0
340,wattegama,LK,7.35,80.68,72.34,87,99,4.05
341,santo augusto,BR,-27.85,-53.78,48.94,80,0,5.55
342,guaymas,MX,27.92,-110.9,103.35,44,20,20.8
343,balikpapan,ID,-1.24,116.86,71.8,91,98,5.44
344,port hedland,AU,-20.31,118.58,50.0,46,0,8.05
345,alibag,IN,18.64,72.88,84.2,83,75,6.93
346,midland,US,32.0,-102.08,97.18,22,1,6.93
347,semey,KZ,50.41,80.25,62.98,68,23,11.3
348,lata,IN,30.78,78.62,39.22,91,81,2.13
349,rocha,UY,-34.48,-54.34,42.64,94,17,4.38
350,porto nacional,BR,-10.7,-48.41,84.2,51,0,2.24
351,sampit,ID,-2.54,112.95,74.32,89,87,2.39
352,qasigiannguit,GL,68.82,-51.19,53.6,46,20,8.05
353,port pirie,AU,-33.18,138.01,50.0,100,90,3.36
354,jalu,LY,29.03,21.55,91.42,24,0,12.84
355,hamilton,CA,43.26,-79.87,79.32,57,75,8.05
356,emerald,AU,-23.53,148.16,50.79,70,69,6.93
357,mwinilunga,ZM,-11.73,24.43,52.36,47,0,5.88
358,maine-soroa,NE,13.21,12.02,89.98,41,79,10.42
359,fez,MA,34.03,-5.02,71.44,64,0,8.05
360,puerto ayora,EC,-0.74,-90.35,75.16,57,75,17.22
361,sobolevo,RU,54.43,31.9,51.28,93,98,3.53
362,babushkin,RU,51.72,105.86,46.42,100,100,1.59
363,shushenskoye,RU,53.33,91.95,48.2,100,90,2.24
364,kampong thum,KH,12.71,104.89,80.8,76,96,2.95
365,havelock,US,34.88,-76.9,89.1,66,40,8.05
366,san vicente,EC,-0.59,-80.41,77.0,73,40,11.41
367,saint anthony,US,43.97,-111.68,83.34,27,1,13.87
368,constitucion,MX,23.99,-104.67,74.62,33,90,12.75
369,khasan,RU,42.43,130.64,61.18,92,100,3.53
370,senno,RU,57.76,27.95,46.4,93,41,5.86
371,porciuncula,BR,-20.96,-42.04,68.02,55,16,3.02
372,loandjili,CG,-4.77,11.87,73.4,88,90,4.7
373,pinega,RU,64.7,43.39,49.3,92,93,2.1
374,riyadh,SA,24.63,46.72,87.8,10,0,3.36
375,saint-francois,FR,46.42,3.91,57.92,63,0,3.36
376,safita,SY,34.82,36.12,70.86,73,40,5.82
377,honiara,SB,-9.43,159.96,77.0,94,75,6.04
378,hobyo,SO,5.35,48.53,75.58,74,97,24.49
379,tabou,CI,4.42,-7.36,74.5,88,99,4.63
380,anloga,GH,5.79,0.9,77.0,88,40,6.93
381,nantucket,US,41.28,-70.1,75.85,69,1,12.75
382,samarai,PG,-10.62,150.67,73.96,94,100,6.87
383,coihaique,CL,-45.58,-72.07,42.42,87,90,10.29
384,torres,BR,-29.34,-49.73,51.28,92,87,5.1
385,esperance,AU,-33.86,121.89,42.8,93,0,11.41
386,oyem,GA,1.6,11.57,66.22,99,100,1.9
387,nizhniy kuranakh,RU,58.84,125.49,65.68,82,99,4.27
388,horodnytsya,UA,50.81,27.32,52.36,93,0,3.24
389,joaima,BR,-16.65,-41.03,65.21,49,0,3.78
390,yomou,GN,7.57,-9.26,70.72,97,65,3.83
391,lufilufi,WS,-13.87,-171.6,77.0,94,60,4.0
392,otradnoye,RU,59.77,30.8,49.17,81,0,4.47
393,cumana,VE,10.46,-64.17,86.0,70,40,14.79
394,seydi,NE,13.34,7.75,83.5,55,89,15.01
395,sabha,LY,27.03,14.43,92.68,12,0,8.75
396,uray,RU,60.13,64.8,69.28,79,50,12.57
397,soure,PT,40.06,-8.63,65.59,88,75,12.75
398,alexandria,RO,43.97,25.33,59.02,91,26,6.76
399,brae,GB,60.4,-1.35,53.6,100,99,1.12
400,grindavik,IS,63.84,-22.43,57.87,87,75,10.29
401,khuzdar,PK,27.8,66.62,68.92,89,0,4.21
402,nuqui,CO,5.71,-77.27,64.4,88,75,10.29
403,pisco,PE,-13.71,-76.2,66.29,30,0,9.17
404,tanout,NE,14.97,8.88,90.16,40,94,13.8
405,mapimi,MX,25.82,-103.85,98.6,19,75,6.93
406,makokou,GA,0.56,12.85,69.46,97,93,3.71
407,sitka,US,37.17,-99.65,95.0,40,0,5.99
408,sena madureira,BR,-9.07,-68.66,77.74,66,49,1.59
409,bongandanga,CD,1.51,21.07,72.16,95,89,1.03
410,praia da vitoria,PT,38.73,-27.07,68.0,82,20,0.96
411,harrismith,ZA,-28.27,29.13,41.38,39,0,1.9
412,centralia,US,46.72,-122.96,65.97,82,90,2.86
413,abu dhabi,AE,24.47,54.37,92.26,56,0,4.7
414,russkiy,RU,44.21,40.02,57.58,96,51,2.19
415,madang,CN,35.32,102.79,44.8,67,19,0.51
416,hirara,JP,24.8,125.28,82.4,83,75,5.82
417,port blair,IN,11.67,92.75,84.22,78,100,20.33
418,iisalmi,FI,63.56,27.19,55.4,76,40,3.36
419,ryotsu,JP,38.08,138.43,72.64,94,90,2.24
420,faya,SA,18.39,42.45,73.4,56,80,0.98
421,pulandian,CN,39.4,121.96,78.67,94,20,6.71
422,lesnoy,RU,59.78,52.13,53.26,96,100,17.49
423,gelemso,ET,8.81,40.52,63.88,79,58,11.36
424,botou,CN,38.08,116.55,83.32,50,100,9.35
425,ucluelet,CA,48.94,-125.55,73.58,72,40,12.75
426,fort nelson,CA,58.81,-122.69,80.6,34,75,8.05
427,shunyi,CN,40.13,116.65,80.71,78,100,6.71
428,vila franca do campo,PT,37.72,-25.43,68.0,82,20,5.82
429,kalmunai,LK,7.42,81.82,76.48,80,97,2.8
430,varna,BG,43.22,27.9,63.82,77,0,3.36
431,mozelos,PT,41.0,-8.56,65.84,88,90,6.93
432,molo,KE,-0.25,35.73,49.48,94,70,3.78
433,mallur,IN,11.54,78.14,76.84,86,80,2.68
434,puerto escondido,MX,15.86,-97.07,86.0,74,75,5.82
435,adet,ET,11.26,37.49,57.58,93,81,5.84
436,najran,SA,17.54,44.22,87.8,22,40,4.7
437,cayenne,GF,4.94,-52.33,82.4,74,0,5.82
438,ikongo,MG,-21.88,47.44,53.08,97,98,7.0
439,teguise,ES,29.06,-13.56,71.6,83,40,20.8
440,san blas,MX,21.54,-105.29,87.8,48,75,11.41
441,palana,RU,59.08,159.95,49.12,93,100,25.23
442,sahuaripa,MX,29.05,-109.23,100.78,24,24,6.22
443,salisbury,GB,51.07,-1.8,56.16,87,91,5.82
444,birao,CF,10.3,22.78,72.34,92,4,2.75
445,eureka,US,40.8,-124.16,69.85,68,1,14.99
446,hun,BE,50.34,4.87,57.25,76,26,3.36
447,clyde river,CA,70.47,-68.59,39.2,93,75,16.11
448,guerrero negro,MX,27.97,-114.04,66.76,88,0,16.33
449,broome,GB,52.47,1.45,53.76,87,1,3.36
